"";"Cod_Distrito";"Distrito";"Renta_Media";"Edad_Media";"Densidad_Pob";"Num_Detenciones";"Calidad_Vida";"Percepcion_seguridad";"Tasa_Desem_H_16_24";"Tasa_Desem_H_25_44";"Tasa_Desem_H_45_64";"Tasa_Desem_M_16_24";"Tasa_Desem_M_25_44";"Tasa_Desem_M_45_64";"Num_Delitos_Perso";"Num_Delitos_Pat";"Num_Delitos_Armas";"Num_Delitos_Drogas";"Valor_Cat_Fisicas";"Valor_Cat_Juridicas";"Vivienda_NoConsta";"Vivienda_Bueno";"Vivienda_Deficiente";"Vivienda_Malo";"Vivienda_Ruina";"Num_Alquileres_Airbnb";"Target"
"1";1;"Centro";36,072;44,09;269;1,852;73,6;69,8;3,68;6;11,11;3,22;6,81;10,83;943;1439;716;2155;117;593;1875;74970;7895;1725;330;10607;0
"2";10;"Latina";31,872;46,55;95;350;68,6;54,4;5,61;7,98;10,59;5,39;9,74;11,64;157;185;29;214;61,5;232;1735;107455;5245;810;250;720;1
"3";11;"Carabanchel";29,842;43,53;185;630;66,2;49,1;6,4;8,49;11,09;6,41;10,7;12,38;376;296;49;345;52,8;142;4135;103880;6090;1035;125;889;1
"4";12;"Usera";27,674;42,34;184;362;61,8;44,9;7,03;9,04;11,44;7,88;11,74;13,12;272;310;25;335;50,5;169;1255;54565;2715;370;380;606;0
"5";13;"Puente de Vallecas";26,652;43,3;161;1,109;60;46,8;7,8;9,88;13,03;7,74;12,91;13,52;359;389;142;531;43,7;99;2285;92170;9785;1880;470;719;1
"6";14;"Moratalaz";36,755;47,61;157;125;76,4;61;5,18;7,88;9,67;5,33;9,97;11,08;67;101;21;122;82,5;248;140;43755;415;635,5;95;186;1
"7";15;"Ciudad Lineal";39,425;45,87;192;509;69,5;56,1;3,79;6,36;9,88;3,63;7,84;10,54;344;374;49;423;83,8;292;1230;97780;2385;260;85;818;1
"8";16;"Hortaleza";52,944;42,35;70,48;221;75,7;60,9;3,43;5,13;7,64;2,85;7;9,79;97;103;26;129;108;281;2170;70310;1600;735;120;529;1
"9";17;"Villaverde";28,407;42,15;76,44;411;56,3;41,6;7,69;9,46;11,53;7,77;13,38;14,09;216;259;27;286;52,8;142;1535;55445;3655;1145;140;252;1
"10";18;"Villa de Vallecas";32,765;38,9;22,25;333;69;52,5;7,69;7,21;9,75;8,31;10,66;12,95;159;351;39;390;62;139;800;41730;775;175;40;120;1
"11";19;"Vicálvaro";33,87;40,83;21;78;72,1;59,8;6,2;8,2;8,48;6,6;11,12;11,37;66;51;10;61;61,1;200;2005;27550;675;75;171,25;79;1
"12";2;"Arganzuela";43,789;44,63;241;291;77,9;68,6;3,53;5,65;7,91;3,31;6,82;8,78;199;287;19;306;84,1;297;1320;65310;7200;1885;540;1247;0
"13";20;"San Blas-Canillejas";37,112;43,22;72,32;396;70,3;66;4,76;7,21;9,48;4,59;9,4;11,33;223;288;30;318;71,3;316;890;63645;2750;45;120;568;0
"14";21;"Barajas";49,615;41,79;11,93;97;80,9;67,6;3,23;4,95;6,88;2,92;6,92;8,55;70;186;4;190;92;979;595;19410;275;50;40;176;0
"15";3;"Retiro";55,775;47,13;220;177;80,3;66,6;1,99;5,05;6,73;2,13;5,79;7,73;70;86;20;106;132;483;900;54950;445;255;45;864;0
"16";4;"Salamanca";61,466;46,34;274;693;77,5;73;1,99;4,05;6,73;1,62;4,84;7,85;113;438;18;456;160;549;1035;80955;1255;265;70;1708;0
"17";5;"Chamartín";70,735;45,48;161;314;80,5;73;1,71;3,86;7,02;1,6;4,76;7,85;100;154;15;169;150;483;460;69735;1635;175;120;730;0
"18";6;"Tetuán";37,557;44,23;300;502;67,1;60,4;4,62;5,71;10,6;4,41;7,33;10,75;344;228;30;258;89,2;271;580;72245;5940;1130;270;1326;0
"19";7;"Chamberí";54,327;46,43;301;251;80;75,2;2,19;4,52;6,98;2,25;5,15;7,91;144;158;7;165;133;483;365;76720;2290;370;35;1645;0
"20";8;"Fuencarral-El Pardo";52,858;42,94;10,51;220;75,8;67,3;2,92;4,92;7,03;2,7;6,45;8,64;130;110;22;132;94;508;1680;95455;1890;110;125;355;0
"21";9;"Moncloa-Aravaca";64,066;44,63;26,15;264;79,5;70,5;2,12;4,91;6,98;1,94;5,99;7,55;174;276;20;296;143;629;780;52235;1865;215;25;684;0
