"";"cod_distrito";"distrito";"numero_alquileres"
"1";1;"Centro";10607
"2";2;"Arganzuela";1247
"3";3;"Retiro";864
"4";4;"Salamanca";1708
"5";5;"Chamartín";730
"6";6;"Tetuán";1326
"7";7;"Chamberí";1645
"8";8;"Fuencarral - El Pardo";355
"9";9;"Moncloa - Aravaca";684
"10";10;"Latina";720
"11";11;"Carabanchel";889
"12";12;"Usera";606
"13";13;"Puente de Vallecas";719
"14";14;"Moratalaz";186
"15";15;"Ciudad Lineal";818
"16";16;"Hortaleza";529
"17";17;"Villaverde";252
"18";18;"Villa de Vallecas";120
"19";19;"Vicálvaro";79
"20";20;"San Blas - Canillejas";568
"21";21;"Barajas";176
