"";"cod_distrito";"distrito";"cod_barrio";"barrio";"indicador_completo";"valor_indicador"
"1";1;"Centro";11;"Palacio";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";124
"2";1;"Centro";11;"Palacio";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";490
"3";1;"Centro";12;"Embajadores";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";86,2
"4";1;"Centro";12;"Embajadores";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";268
"5";1;"Centro";13;"Cortes";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";147
"6";1;"Centro";13;"Cortes";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";1,057
"7";1;"Centro";14;"Justicia";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";158
"8";1;"Centro";14;"Justicia";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";621
"9";1;"Centro";15;"Universidad";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";107
"10";1;"Centro";15;"Universidad";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";497
"11";1;"Centro";16;"Sol";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";169
"12";1;"Centro";16;"Sol";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";1,057
"13";2;"Arganzuela";21;"Imperial";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";85,6
"14";2;"Arganzuela";21;"Imperial";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";364
"15";2;"Arganzuela";22;"Las Acacias";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";83
"16";2;"Arganzuela";22;"Las Acacias";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";203
"17";2;"Arganzuela";23;"La Chopera";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";78,9
"18";2;"Arganzuela";23;"La Chopera";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";248
"19";2;"Arganzuela";24;"Legazpi";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";89,1
"20";2;"Arganzuela";24;"Legazpi";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";193
"21";2;"Arganzuela";25;"Delicias";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";84,2
"22";2;"Arganzuela";25;"Delicias";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";345
"23";2;"Arganzuela";26;"Palos de la Frontera";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";81,5
"24";2;"Arganzuela";26;"Palos de la Frontera";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";297
"25";2;"Arganzuela";27;"Atocha";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";118
"26";2;"Arganzuela";27;"Atocha";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";918
"27";3;"Retiro";31;"Pacífico";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";95
"28";3;"Retiro";31;"Pacífico";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";262
"29";3;"Retiro";32;"Adelfas";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";88,5
"30";3;"Retiro";32;"Adelfas";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";182
"31";3;"Retiro";33;"La Estrella";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";124
"32";3;"Retiro";33;"La Estrella";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";368
"33";3;"Retiro";34;"Ibiza";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";160
"34";3;"Retiro";34;"Ibiza";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";504
"35";3;"Retiro";35;"Los Jerónimos";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";327
"36";3;"Retiro";35;"Los Jerónimos";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";1,788
