"";"cod_distrito";"distrito";"indicador_completo";"valor_indicador"
"1";1;"Centro";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";117
"2";1;"Centro";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";593
"3";2;"Arganzuela";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";84,1
"4";2;"Arganzuela";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";297
"5";3;"Retiro";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";132
"6";3;"Retiro";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";483
"7";4;"Salamanca";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";160
"8";4;"Salamanca";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";549
"9";5;"Chamartín";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";150
"10";5;"Chamartín";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";483
"11";6;"Tetuán";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";89,2
"12";6;"Tetuán";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";271
"13";7;"Chamberí";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";133
"14";7;"Chamberí";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";483
"15";8;"Fuencarral-El Pardo";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";94
"16";8;"Fuencarral-El Pardo";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";508
"17";9;"Moncloa-Aravaca";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";143
"18";9;"Moncloa-Aravaca";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";629
"19";10;"Latina";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";61,5
"20";10;"Latina";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";232
"21";11;"Carabanchel";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";52,8
"22";11;"Carabanchel";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";142
"23";12;"Usera";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";50,5
"24";12;"Usera";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";169
"25";13;"Puente de Vallecas";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";43,7
"26";13;"Puente de Vallecas";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";99
"27";14;"Moratalaz";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";82,5
"28";14;"Moratalaz";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";248
"29";15;"Ciudad Lineal";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";83,8
"30";15;"Ciudad Lineal";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";292
"31";16;"Hortaleza";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";108
"32";16;"Hortaleza";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";281
"33";17;"Villaverde";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";52,8
"34";17;"Villaverde";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";142
"35";18;"Villa de Vallecas";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";62
"36";18;"Villa de Vallecas";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";139
"37";19;"Vicálvaro";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";61,1
"38";19;"Vicálvaro";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";200
"39";20;"San Blas-Canillejas";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";71,3
"40";20;"San Blas-Canillejas";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";316
"41";21;"Barajas";"Valor catastral medio de los bienes inmuebles: personas físicas en miles de €";92
"42";21;"Barajas";"Valor catastral medio de los bienes inmuebles: personas jurídicas en miles de €";979
