"";"cod_distrito";"distrito";"cod_barrio";"barrio";"indicador_completo";"valor_indicador"
"1";1;"Centro";11;"Palacio";"Población densidad (hab./Ha.)";161
"2";1;"Centro";12;"Embajadores";"Población densidad (hab./Ha.)";455
"3";1;"Centro";13;"Cortes";"Población densidad (hab./Ha.)";182
"4";1;"Centro";14;"Justicia";"Población densidad (hab./Ha.)";244
"5";1;"Centro";15;"Universidad";"Población densidad (hab./Ha.)";353
"6";1;"Centro";16;"Sol";"Población densidad (hab./Ha.)";171
"7";2;"Arganzuela";21;"Imperial";"Población densidad (hab./Ha.)";237
"8";2;"Arganzuela";22;"Acacias";"Población densidad (hab./Ha.)";344
"9";2;"Arganzuela";23;"Chopera";"Población densidad (hab./Ha.)";357
"10";2;"Arganzuela";24;"Legazpi";"Población densidad (hab./Ha.)";140
"11";2;"Arganzuela";25;"Delicias";"Población densidad (hab./Ha.)";268
"12";2;"Arganzuela";26;"Palos de la Frontera";"Población densidad (hab./Ha.)";405
"13";2;"Arganzuela";27;"Atocha";"Población densidad (hab./Ha.)";16,46
"14";3;"Retiro";31;"Pacífico";"Población densidad (hab./Ha.)";445
"15";3;"Retiro";32;"Adelfas";"Población densidad (hab./Ha.)";293
"16";3;"Retiro";33;"Estrella";"Población densidad (hab./Ha.)";228
"17";3;"Retiro";34;"Ibiza";"Población densidad (hab./Ha.)";447
"18";3;"Retiro";35;"Los Jerónimos";"Población densidad (hab./Ha.)";36,96
"19";3;"Retiro";36;"Niño Jesús";"Población densidad (hab./Ha.)";240
"20";4;"Salamanca";41;"Recoletos";"Población densidad (hab./Ha.)";181
"21";4;"Salamanca";42;"Goya";"Población densidad (hab./Ha.)";389
"22";4;"Salamanca";43;"Fuente del Berro";"Población densidad (hab./Ha.)";249
"23";4;"Salamanca";44;"Guindalera";"Población densidad (hab./Ha.)";264
"24";4;"Salamanca";45;"Lista";"Población densidad (hab./Ha.)";408
"25";4;"Salamanca";46;"Castellana";"Población densidad (hab./Ha.)";224
"26";5;"Chamartín";51;"El Viso";"Población densidad (hab./Ha.)";102
"27";5;"Chamartín";52;"Prosperidad";"Población densidad (hab./Ha.)";355
"28";5;"Chamartín";53;"Ciudad Jardín";"Población densidad (hab./Ha.)";248
"29";5;"Chamartín";54;"Hispanoamérica";"Población densidad (hab./Ha.)";187
"30";5;"Chamartín";55;"Nueva España";"Población densidad (hab./Ha.)";140
"31";5;"Chamartín";56;"Castilla";"Población densidad (hab./Ha.)";79,71
"32";6;"Tetuán";61;"Bellas Vistas";"Población densidad (hab./Ha.)";418
"33";6;"Tetuán";62;"Cuatro Caminos";"Población densidad (hab./Ha.)";297
"34";6;"Tetuán";63;"Castillejos";"Población densidad (hab./Ha.)";296
"35";6;"Tetuán";64;"Almenara";"Población densidad (hab./Ha.)";230
"36";6;"Tetuán";65;"Valdeacederas";"Población densidad (hab./Ha.)";228
"37";6;"Tetuán";66;"Berruguete";"Población densidad (hab./Ha.)";426
"38";7;"Chamberí";71;"Gaztambide";"Población densidad (hab./Ha.)";461
"39";7;"Chamberí";72;"Arapiles";"Población densidad (hab./Ha.)";427
"40";7;"Chamberí";73;"Trafalgar";"Población densidad (hab./Ha.)";409
"41";7;"Chamberí";74;"Almagro";"Población densidad (hab./Ha.)";212
"42";7;"Chamberí";75;"Ríos Rosas";"Población densidad (hab./Ha.)";283
"43";7;"Chamberí";76;"Vallehermoso";"Población densidad (hab./Ha.)";191
"44";8;"Fuencarral-El Pardo";81;"El Pardo";"Población densidad (hab./Ha.)";0,19
"45";8;"Fuencarral-El Pardo";82;"Fuentelarreina";"Población densidad (hab./Ha.)";23,93
"46";8;"Fuencarral-El Pardo";83;"Peñagrande";"Población densidad (hab./Ha.)";156
