"";"cod_distrito";"distrito";"indicador_completo";"valor_indicador"
"1";1;"Centro";"Población densidad (hab./Ha.)";269
"2";2;"Arganzuela";"Población densidad (hab./Ha.)";241
"3";3;"Retiro";"Población densidad (hab./Ha.)";220
"4";4;"Salamanca";"Población densidad (hab./Ha.)";274
"5";5;"Chamartín";"Población densidad (hab./Ha.)";161
"6";6;"Tetuán";"Población densidad (hab./Ha.)";300
"7";7;"Chamberí";"Población densidad (hab./Ha.)";301
"8";8;"Fuencarral-El Pardo";"Población densidad (hab./Ha.)";10,51
"9";9;"Moncloa-Aravaca";"Población densidad (hab./Ha.)";26,15
"10";10;"Latina";"Población densidad (hab./Ha.)";95
"11";11;"Carabanchel";"Población densidad (hab./Ha.)";185
"12";12;"Usera";"Población densidad (hab./Ha.)";184
"13";13;"Puente de Vallecas";"Población densidad (hab./Ha.)";161
"14";14;"Moratalaz";"Población densidad (hab./Ha.)";157
"15";15;"Ciudad Lineal";"Población densidad (hab./Ha.)";192
"16";16;"Hortaleza";"Población densidad (hab./Ha.)";70,48
"17";17;"Villaverde";"Población densidad (hab./Ha.)";76,44
"18";18;"Villa de Vallecas";"Población densidad (hab./Ha.)";22,25
"19";19;"Vicálvaro";"Población densidad (hab./Ha.)";21
"20";20;"San Blas-Canillejas";"Población densidad (hab./Ha.)";72,32
"21";21;"Barajas";"Población densidad (hab./Ha.)";11,93
