"";"cod_distrito";"distrito";"cod_barrio";"barrio";"indicador_nivel2";"indicador_completo";"valor_indicador";"porcentaje"
"1";1;"Centro";11;"Palacio";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";1,67;1,32
"2";1;"Centro";11;"Palacio";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,94;4,68
"3";1;"Centro";11;"Palacio";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";9,23;7,27
"4";1;"Centro";11;"Palacio";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,49;2,75
"5";1;"Centro";11;"Palacio";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";6,32;4,98
"6";1;"Centro";11;"Palacio";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";10,61;8,36
"7";1;"Centro";12;"Embajadores";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";4,56;3,12
"8";1;"Centro";12;"Embajadores";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";6,98;4,78
"9";1;"Centro";12;"Embajadores";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";11,16;7,64
"10";1;"Centro";12;"Embajadores";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,42;2,34
"11";1;"Centro";12;"Embajadores";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,46;3,74
"12";1;"Centro";12;"Embajadores";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";11,14;7,63
"13";1;"Centro";13;"Cortes";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";1,99;1,92
"14";1;"Centro";13;"Cortes";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";6,04;5,82
"15";1;"Centro";13;"Cortes";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";9,47;9,13
"16";1;"Centro";13;"Cortes";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";1,63;1,57
"17";1;"Centro";13;"Cortes";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,57;5,37
"18";1;"Centro";13;"Cortes";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";9,17;8,84
"19";1;"Centro";14;"Justicia";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";1,8;1,79
"20";1;"Centro";14;"Justicia";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";4,54;4,52
"21";1;"Centro";14;"Justicia";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";8,97;8,92
"22";1;"Centro";14;"Justicia";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,07;3,05
"23";1;"Centro";14;"Justicia";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";4,86;4,83
"24";1;"Centro";14;"Justicia";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";9,32;9,27
"25";1;"Centro";15;"Universidad";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";2,61;2,2
"26";1;"Centro";15;"Universidad";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,55;4,68
"27";1;"Centro";15;"Universidad";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";9,57;8,07
"28";1;"Centro";15;"Universidad";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";2,93;2,47
"29";1;"Centro";15;"Universidad";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";4,79;4,04
"30";1;"Centro";15;"Universidad";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";9,66;8,15
"31";1;"Centro";16;"Sol";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";2,29;2,03
"32";1;"Centro";16;"Sol";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,43;4,81
"33";1;"Centro";16;"Sol";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";9,37;8,3
"34";1;"Centro";16;"Sol";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";1,29;1,14
"35";1;"Centro";16;"Sol";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,23;4,64
"36";1;"Centro";16;"Sol";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";9,66;8,56
"37";2;"Arganzuela";21;"Imperial";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";1,82;1,7
"38";2;"Arganzuela";21;"Imperial";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";6,15;5,75
"39";2;"Arganzuela";21;"Imperial";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";8,73;8,16
"40";2;"Arganzuela";21;"Imperial";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,76;3,52
"41";2;"Arganzuela";21;"Imperial";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,37;5,02
"42";2;"Arganzuela";21;"Imperial";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";6,77;6,33
"43";2;"Arganzuela";22;"Las Acacias";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";2,86;8,42
"44";2;"Arganzuela";22;"Las Acacias";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";6,54;19,25
"45";2;"Arganzuela";22;"Las Acacias";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";8,32;24,48
"46";2;"Arganzuela";22;"Las Acacias";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";2,93;8,62
"47";2;"Arganzuela";22;"Las Acacias";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,84;17,19
"48";2;"Arganzuela";22;"Las Acacias";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";7,49;22,04
"49";2;"Arganzuela";23;"La Chopera";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";2,88;7,3
"50";2;"Arganzuela";23;"La Chopera";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";6,99;17,71
"51";2;"Arganzuela";23;"La Chopera";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";9,24;23,42
"52";2;"Arganzuela";23;"La Chopera";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";5,67;14,37
"53";2;"Arganzuela";23;"La Chopera";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,27;13,36
"54";2;"Arganzuela";23;"La Chopera";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";9,41;23,85
"55";2;"Arganzuela";24;"Legazpi";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";1,39;1,7
"56";2;"Arganzuela";24;"Legazpi";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,92;7,24
"57";2;"Arganzuela";24;"Legazpi";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";6,86;8,39
"58";2;"Arganzuela";24;"Legazpi";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,17;3,88
"59";2;"Arganzuela";24;"Legazpi";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";3,93;4,81
"60";2;"Arganzuela";24;"Legazpi";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";4,57;5,59
"61";2;"Arganzuela";25;"Delicias";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";3,43;3,44
"62";2;"Arganzuela";25;"Delicias";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,64;5,66
"63";2;"Arganzuela";25;"Delicias";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";7,39;7,41
"64";2;"Arganzuela";25;"Delicias";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";2,19;2,2
"65";2;"Arganzuela";25;"Delicias";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,06;5,08
"66";2;"Arganzuela";25;"Delicias";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";7;7,02
"67";2;"Arganzuela";26;"Palos de la Frontera";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";4,2;3,49
"68";2;"Arganzuela";26;"Palos de la Frontera";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,93;4,93
"69";2;"Arganzuela";26;"Palos de la Frontera";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";8,8;7,32
"70";2;"Arganzuela";26;"Palos de la Frontera";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,52;2,93
"71";2;"Arganzuela";26;"Palos de la Frontera";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";5,47;4,55
"72";2;"Arganzuela";26;"Palos de la Frontera";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";10,01;8,32
"73";2;"Arganzuela";27;"Atocha";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";0;0
"74";2;"Arganzuela";27;"Atocha";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";10,37;8,72
"75";2;"Arganzuela";27;"Atocha";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";9,17;7,71
"76";2;"Arganzuela";27;"Atocha";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";5,95;5
"77";2;"Arganzuela";27;"Atocha";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";11,14;9,37
"78";2;"Arganzuela";27;"Atocha";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";10,19;8,57
"79";3;"Retiro";31;"Pacífico";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";2,67;2,68
"80";3;"Retiro";31;"Pacífico";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";5,43;5,45
"81";3;"Retiro";31;"Pacífico";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";7,58;7,61
"82";3;"Retiro";31;"Pacífico";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";2,14;2,15
"83";3;"Retiro";31;"Pacífico";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";6,11;6,14
"84";3;"Retiro";31;"Pacífico";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";7,29;7,32
"85";3;"Retiro";32;"Adelfas";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";2,85;2,74
"86";3;"Retiro";32;"Adelfas";"Mujeres";"Tasa de desempleo en mujeres de 25 a 44 años";6,49;6,24
"87";3;"Retiro";32;"Adelfas";"Mujeres";"Tasa de desempleo en mujeres de 45 a 64 años";8,14;7,83
"88";3;"Retiro";32;"Adelfas";"Hombres";"Tasa de desempleo en hombres de 16 a 24 años";3,21;3,09
"89";3;"Retiro";32;"Adelfas";"Hombres";"Tasa de desempleo en hombres de 25 a 44 años";4,69;4,51
"90";3;"Retiro";32;"Adelfas";"Hombres";"Tasa de desempleo en hombres de 45 a 64 años";6,79;6,53
"91";3;"Retiro";33;"La Estrella";"Mujeres";"Tasa de desempleo en mujeres de 16 a 24 años";1;4,15
