"";"cod_distrito";"distrito";"cod_barrio";"barrio";"indicador_completo";"valor_indicador"
"1";1;"Centro";11;"Palacio";"Edad media de la población";45,8
"2";1;"Centro";12;"Embajadores";"Edad media de la población";42,88
"3";1;"Centro";13;"Cortes";"Edad media de la población";45,02
"4";1;"Centro";14;"Justicia";"Edad media de la población";44,3
"5";1;"Centro";15;"Universidad";"Edad media de la población";44,04
"6";1;"Centro";16;"Sol";"Edad media de la población";44,7
"7";2;"Arganzuela";21;"Imperial";"Edad media de la población";46,21
"8";2;"Arganzuela";22;"Las Acacias";"Edad media de la población";46,49
"9";2;"Arganzuela";23;"La Chopera";"Edad media de la población";46,49
"10";2;"Arganzuela";24;"Legazpi";"Edad media de la población";38,27
"11";2;"Arganzuela";25;"Delicias";"Edad media de la población";43,12
"12";2;"Arganzuela";26;"Palos de la Frontera";"Edad media de la población";45,86
"13";2;"Arganzuela";27;"Atocha";"Edad media de la población";38,65
"14";3;"Retiro";31;"Pacífico";"Edad media de la población";47,6
"15";3;"Retiro";32;"Adelfas";"Edad media de la población";45,07
"16";3;"Retiro";33;"La Estrella";"Edad media de la población";48,59
"17";3;"Retiro";34;"Ibiza";"Edad media de la población";46,93
"18";3;"Retiro";35;"Los Jerónimos";"Edad media de la población";48,05
"19";3;"Retiro";36;"Niño Jesús";"Edad media de la población";46,25
"20";4;"Salamanca";41;"Recoletos";"Edad media de la población";45,96
"21";4;"Salamanca";42;"Goya";"Edad media de la población";46,39
"22";4;"Salamanca";43;"Fuente del Berro";"Edad media de la población";46,84
"23";4;"Salamanca";44;"Guindalera";"Edad media de la población";46,76
"24";4;"Salamanca";45;"Lista";"Edad media de la población";46,07
"25";4;"Salamanca";46;"Castellana";"Edad media de la población";45,34
"26";5;"Chamartín";51;"El Viso";"Edad media de la población";44,45
"27";5;"Chamartín";52;"Prosperidad";"Edad media de la población";46,78
"28";5;"Chamartín";53;"Ciudad Jardín";"Edad media de la población";46
"29";5;"Chamartín";54;"Hispanoamérica";"Edad media de la población";45,99
"30";5;"Chamartín";55;"Nueva España";"Edad media de la población";43,38
"31";5;"Chamartín";56;"Castilla";"Edad media de la población";45,21
"32";6;"Tetuán";61;"Bellas Vistas";"Edad media de la población";43,51
"33";6;"Tetuán";62;"Cuatro Caminos";"Edad media de la población";45,79
"34";6;"Tetuán";63;"Castillejos";"Edad media de la población";46,8
"35";6;"Tetuán";64;"Almenara";"Edad media de la población";44,8
"36";6;"Tetuán";65;"Valdeacederas";"Edad media de la población";41,86
"37";6;"Tetuán";66;"Berruguete";"Edad media de la población";42,75
"38";7;"Chamberí";71;"Gaztambide";"Edad media de la población";47,22
"39";7;"Chamberí";72;"Arapiles";"Edad media de la población";46,18
"40";7;"Chamberí";73;"Trafalgar";"Edad media de la población";45,46
"41";7;"Chamberí";74;"Almagro";"Edad media de la población";46,28
