"";"cod_distrito";"distrito";"indicador_completo";"valor_indicador"
"1";1;"Centro";"Edad media de la población";44,09
"2";2;"Arganzuela";"Edad media de la población";44,63
"3";3;"Retiro";"Edad media de la población";47,13
"4";4;"Salamanca";"Edad media de la población";46,34
"5";5;"Chamartín";"Edad media de la población";45,48
"6";6;"Tetuán";"Edad media de la población";44,23
"7";7;"Chamberí";"Edad media de la población";46,43
"8";8;"Fuencarral-El Pardo";"Edad media de la población";42,94
"9";9;"Moncloa-Aravaca";"Edad media de la población";44,63
"10";10;"Latina";"Edad media de la población";46,55
"11";11;"Carabanchel";"Edad media de la población";43,53
"12";12;"Usera";"Edad media de la población";42,34
"13";13;"Puente de Vallecas";"Edad media de la población";43,3
"14";14;"Moratalaz";"Edad media de la población";47,61
"15";15;"Ciudad Lineal";"Edad media de la población";45,87
"16";16;"Hortaleza";"Edad media de la población";42,35
"17";17;"Villaverde";"Edad media de la población";42,15
"18";18;"Villa de Vallecas";"Edad media de la población";38,9
"19";19;"Vicálvaro";"Edad media de la población";40,83
"20";20;"San Blas-Canillejas";"Edad media de la población";43,22
"21";21;"Barajas";"Edad media de la población";41,79
