"";"cod_distrito";"distrito";"cod_barrio";"barrio";"indicador_completo";"valor_indicador"
"1";1;"Centro";11;"Palacio";"Renta neta media anual de los hogares (Urban Audit)";38,974
"2";1;"Centro";12;"Embajadores";"Renta neta media anual de los hogares (Urban Audit)";29,472
"3";1;"Centro";13;"Cortes";"Renta neta media anual de los hogares (Urban Audit)";40,963
"4";1;"Centro";14;"Justicia";"Renta neta media anual de los hogares (Urban Audit)";48,203
"5";1;"Centro";15;"Universidad";"Renta neta media anual de los hogares (Urban Audit)";35,344
"6";1;"Centro";16;"Sol";"Renta neta media anual de los hogares (Urban Audit)";35,057
"7";2;"Arganzuela";21;"Imperial";"Renta neta media anual de los hogares (Urban Audit)";46,879
"8";2;"Arganzuela";22;"Acacias";"Renta neta media anual de los hogares (Urban Audit)";47,683
"9";2;"Arganzuela";23;"Chopera";"Renta neta media anual de los hogares (Urban Audit)";35,015
"10";2;"Arganzuela";24;"Legazpi";"Renta neta media anual de los hogares (Urban Audit)";52,569
"11";2;"Arganzuela";25;"Delicias";"Renta neta media anual de los hogares (Urban Audit)";43,018
"12";2;"Arganzuela";26;"Palos de la Frontera";"Renta neta media anual de los hogares (Urban Audit)";37,389
"13";2;"Arganzuela";27;"Atocha";"Renta neta media anual de los hogares (Urban Audit)";42,657
"14";3;"Retiro";31;"Pacífico";"Renta neta media anual de los hogares (Urban Audit)";44,832
"15";3;"Retiro";32;"Adelfas";"Renta neta media anual de los hogares (Urban Audit)";49,538
"16";3;"Retiro";33;"Estrella";"Renta neta media anual de los hogares (Urban Audit)";63,495
"17";3;"Retiro";34;"Ibiza";"Renta neta media anual de los hogares (Urban Audit)";50,08
"18";3;"Retiro";35;"Los Jerónimos";"Renta neta media anual de los hogares (Urban Audit)";72,997
"19";3;"Retiro";36;"Niño Jesús";"Renta neta media anual de los hogares (Urban Audit)";70,945
"20";4;"Salamanca";41;"Recoletos";"Renta neta media anual de los hogares (Urban Audit)";81,692
"21";4;"Salamanca";42;"Goya";"Renta neta media anual de los hogares (Urban Audit)";54,456
"22";4;"Salamanca";43;"Fuente del Berro";"Renta neta media anual de los hogares (Urban Audit)";44,221
"23";4;"Salamanca";44;"Guindalera";"Renta neta media anual de los hogares (Urban Audit)";50,064
"24";4;"Salamanca";45;"Lista";"Renta neta media anual de los hogares (Urban Audit)";54,488
"25";4;"Salamanca";46;"Castellana";"Renta neta media anual de los hogares (Urban Audit)";81,38
"26";5;"Chamartín";51;"El Viso";"Renta neta media anual de los hogares (Urban Audit)";80,37
"27";5;"Chamartín";52;"Prosperidad";"Renta neta media anual de los hogares (Urban Audit)";46,805
"28";5;"Chamartín";53;"Ciudad Jardín";"Renta neta media anual de los hogares (Urban Audit)";48,944
"29";5;"Chamartín";54;"Hispanoamérica";"Renta neta media anual de los hogares (Urban Audit)";69,389
"30";5;"Chamartín";55;"Nueva España";"Renta neta media anual de los hogares (Urban Audit)";78,098
"31";5;"Chamartín";56;"Castilla";"Renta neta media anual de los hogares (Urban Audit)";61,31
"32";6;"Tetuán";61;"Bellas Vistas";"Renta neta media anual de los hogares (Urban Audit)";33,574
"33";6;"Tetuán";62;"Cuatro Caminos";"Renta neta media anual de los hogares (Urban Audit)";46,339
"34";6;"Tetuán";63;"Castillejos";"Renta neta media anual de los hogares (Urban Audit)";48,631
"35";6;"Tetuán";64;"Almenara";"Renta neta media anual de los hogares (Urban Audit)";31,609
"36";6;"Tetuán";65;"Valdeacederas";"Renta neta media anual de los hogares (Urban Audit)";30,164
"37";6;"Tetuán";66;"Berruguete";"Renta neta media anual de los hogares (Urban Audit)";31,387
"38";7;"Chamberí";71;"Gaztambide";"Renta neta media anual de los hogares (Urban Audit)";46,63
"39";7;"Chamberí";72;"Arapiles";"Renta neta media anual de los hogares (Urban Audit)";46,882
"40";7;"Chamberí";73;"Trafalgar";"Renta neta media anual de los hogares (Urban Audit)";46,19
"41";7;"Chamberí";74;"Almagro";"Renta neta media anual de los hogares (Urban Audit)";68,837
"42";7;"Chamberí";75;"Ríos Rosas";"Renta neta media anual de los hogares (Urban Audit)";53,844
"43";7;"Chamberí";76;"Vallehermoso";"Renta neta media anual de los hogares (Urban Audit)";61,47
"44";8;"Fuencarral-El Pardo";81;"El Pardo";"Renta neta media anual de los hogares (Urban Audit)";38,883
"45";8;"Fuencarral-El Pardo";82;"Fuentelarreina";"Renta neta media anual de los hogares (Urban Audit)";90,678
"46";8;"Fuencarral-El Pardo";83;"Peñagrande";"Renta neta media anual de los hogares (Urban Audit)";48,909
"47";8;"Fuencarral-El Pardo";84;"El Pilar";"Renta neta media anual de los hogares (Urban Audit)";35,594
