"";"cod_distrito";"distrito";"indicador_completo";"valor_indicador"
"1";1;"Centro";"Renta neta media anual de los hogares (Urban Audit)";36,072
"2";2;"Arganzuela";"Renta neta media anual de los hogares (Urban Audit)";43,789
"3";3;"Retiro";"Renta neta media anual de los hogares (Urban Audit)";55,775
"4";4;"Salamanca";"Renta neta media anual de los hogares (Urban Audit)";61,466
"5";5;"Chamartín";"Renta neta media anual de los hogares (Urban Audit)";70,735
"6";6;"Tetuán";"Renta neta media anual de los hogares (Urban Audit)";37,557
"7";7;"Chamberí";"Renta neta media anual de los hogares (Urban Audit)";54,327
"8";8;"Fuencarral-El Pardo";"Renta neta media anual de los hogares (Urban Audit)";52,858
"9";9;"Moncloa-Aravaca";"Renta neta media anual de los hogares (Urban Audit)";64,066
"10";10;"Latina";"Renta neta media anual de los hogares (Urban Audit)";31,872
"11";11;"Carabanchel";"Renta neta media anual de los hogares (Urban Audit)";29,842
"12";12;"Usera";"Renta neta media anual de los hogares (Urban Audit)";27,674
"13";13;"Puente de Vallecas";"Renta neta media anual de los hogares (Urban Audit)";26,652
"14";14;"Moratalaz";"Renta neta media anual de los hogares (Urban Audit)";36,755
"15";15;"Ciudad Lineal";"Renta neta media anual de los hogares (Urban Audit)";39,425
"16";16;"Hortaleza";"Renta neta media anual de los hogares (Urban Audit)";52,944
"17";17;"Villaverde";"Renta neta media anual de los hogares (Urban Audit)";28,407
"18";18;"Villa de Vallecas";"Renta neta media anual de los hogares (Urban Audit)";32,765
"19";19;"Vicálvaro";"Renta neta media anual de los hogares (Urban Audit)";33,87
"20";20;"San Blas-Canillejas";"Renta neta media anual de los hogares (Urban Audit)";37,112
"21";21;"Barajas";"Renta neta media anual de los hogares (Urban Audit)";49,615
